X	Y	Type	Color
0.030633	-0.0266722	red	#FF0000
6.18504	-6.75908	red	#FF0000
-0.0724311	0.0155593	red	#FF0000
0.0270135	0.0410074	red	#FF0000
-5.21669	-16.0459	red	#FF0000
0.171689	0.461942	red	#FF0000
0.0385557	-0.00305978	red	#FF0000
0.043329	-0.0243384	red	#FF0000
0.00701711	0.029705	green	#008000
0.921538	-0.198423	red	#FF0000
-0.628854	0.00717511	green	#008000
0.0759039	-0.0273734	green	#008000
-0.108515	0.0806609	green	#008000
0.0364087	-0.164826	green	#008000
0.00967699	-0.0100675	green	#008000
-0.446627	-0.436571	green	#008000
-0.762454	0.492002	red	#FF0000
16.3834	-3.39308	red	#FF0000
-0.0126076	-0.0346626	green	#008000
0.016678	0.179653	blue	#3399FF
0.00189774	0.00945732	red	#FF0000
0.00124501	-0.00107984	red	#FF0000
-0.112314	0.0428933	green	#008000
0.073428	-0.171948	red	#FF0000
-1.75823	-2.10973	red	#FF0000
0.2926	0.269741	red	#FF0000
-0.440491	0.127058	green	#008000
-0.12458	0.0570782	red	#FF0000
-0.112684	-0.26007	red	#FF0000
-0.0767721	0.691953	red	#FF0000
0.708096	-0.312589	green	#008000
4.31222	0.28237	green	#008000
-0.00216717	-0.126619	red	#FF0000
0.00959041	-0.0355069	red	#FF0000
-0.044731	-0.0749438	blue	#3399FF
-0.629929	14.2583	green	#008000
-0.0467329	-0.0179606	red	#FF0000
-0.0348237	-0.0856794	green	#008000
-0.243527	-0.85426	green	#008000
0.239889	-0.650398	red	#FF0000
-0.0314897	0.0220477	green	#008000
-0.186343	0.192048	blue	#3399FF
-0.00755216	-0.46195	green	#008000
0.0587218	0.111045	red	#FF0000
-0.0694217	-0.0229863	red	#FF0000
-0.093249	-0.0670633	green	#008000
-0.145948	0.177535	green	#008000
-6.50172	-4.88335	red	#FF0000
-0.0860311	0.0787169	red	#FF0000
0.0524879	-0.430473	red	#FF0000
1.46906	-1.87215	green	#008000
-0.837072	0.458752	blue	#3399FF
0.011204	0.019124	red	#FF0000
-0.0713813	0.0164256	red	#FF0000
0.491653	-0.0435748	green	#008000
0.471736	-0.115479	red	#FF0000
0.172002	-0.0337347	red	#FF0000
-0.16177	-0.0544946	red	#FF0000
0.0765446	0.151791	red	#FF0000
-0.310523	-0.793958	red	#FF0000
-0.103411	-0.167297	green	#008000
-0.0117772	-0.0467777	red	#FF0000
-0.128432	-0.0300207	red	#FF0000
-0.120128	-0.0749326	blue	#3399FF
-0.0313833	0.00329477	red	#FF0000
-0.12	-0.492964	green	#008000
-7.72431	9.29027	red	#FF0000
-0.0752066	0.0434959	blue	#3399FF
0.018388	0.0235727	red	#FF0000
-0.0110377	0.0306572	red	#FF0000
-0.0716305	0.153707	green	#008000
0.0509652	-0.021686	red	#FF0000
0.123989	-0.0568508	red	#FF0000
0.0110465	0.00370116	green	#008000
0.158966	0.101181	red	#FF0000
-4.6795	-11.8707	red	#FF0000
0.00945748	-0.050646	red	#FF0000
0.0702258	-0.0231106	red	#FF0000
-0.725219	-0.68298	red	#FF0000
-0.00681055	0.00300418	green	#008000
0.203167	-0.890528	red	#FF0000
0.0252934	0.0668344	red	#FF0000
0.00243173	-0.0713173	green	#008000
2.30839	-6.17821	red	#FF0000
0.361231	0.396891	red	#FF0000
0.127133	-0.0835127	red	#FF0000
-0.0638471	0.0214534	green	#008000
-1.00256	1.44027	red	#FF0000
0.0412689	-0.0364087	green	#008000
0.0366563	0.162686	red	#FF0000
-0.0397329	0.422279	red	#FF0000
-0.251653	0.113784	green	#008000
-0.0438004	-0.0499893	red	#FF0000
-0.133427	0.0401826	red	#FF0000
-0.279424	0.181526	red	#FF0000
-0.00207419	0.112371	red	#FF0000
-1.38393	0.32657	red	#FF0000
0.438999	-0.249589	red	#FF0000
0.141261	-0.0178636	green	#008000
-0.115333	0.0879469	red	#FF0000
0.0707213	0.138981	red	#FF0000
0.0893297	-0.0316164	green	#008000
-5.11789	-14.2664	red	#FF0000
0.0106298	0.0146658	green	#008000
-0.202144	0.607475	red	#FF0000
-0.0404806	-0.145055	red	#FF0000
0.140716	-0.985344	red	#FF0000
0.768544	0.634711	red	#FF0000
0.00393327	-0.0102917	red	#FF0000
-0.630539	-0.108852	green	#008000
0.00648018	0.030075	red	#FF0000
0.137519	0.325656	red	#FF0000
0.430294	0.0112239	red	#FF0000
0.289614	0.223978	red	#FF0000
0.00154467	0.00589825	red	#FF0000
-0.0771584	-0.0629914	red	#FF0000
-0.491081	-0.362404	red	#FF0000
-0.686313	0.232661	red	#FF0000
0.175217	-0.288076	red	#FF0000
0.602543	0.0567816	red	#FF0000
-13.2726	9.13825	red	#FF0000
0.400076	-0.332348	green	#008000
0.0341789	-0.0415194	red	#FF0000
0.0194635	0.109577	red	#FF0000
-7.54739	-5.18149	green	#008000
0.216693	0.0218047	green	#008000
0.000236246	-0.0187371	red	#FF0000
0.0166615	-0.104474	red	#FF0000
0.0670925	0.0406537	red	#FF0000
0.022828	-0.0293341	green	#008000
-0.126047	-0.991783	blue	#3399FF
0.0180437	-0.0209594	green	#008000
0.421251	-0.315197	blue	#3399FF
0.00647354	0.0118377	red	#FF0000
0.80983	-0.0957896	red	#FF0000
-0.0483265	-0.141862	green	#008000
0.012725	0.00364801	green	#008000
0.00571398	0.0169918	red	#FF0000
0.0582286	-0.12078	blue	#3399FF
0.0230332	-0.00750667	green	#008000
0.103453	-0.0827044	red	#FF0000
-0.0281962	-0.0609925	red	#FF0000
0.0938066	-0.00523987	red	#FF0000
-0.0909089	0.152844	red	#FF0000
-0.165753	0.0501609	red	#FF0000
-0.0628709	-0.0122245	green	#008000
0.0700868	-0.162654	red	#FF0000
0.0901423	-0.0316513	red	#FF0000
-0.072291	-0.0428146	red	#FF0000
0.0624649	-0.0107157	red	#FF0000
-6.02593	2.36778	red	#FF0000
-0.859615	0.485569	green	#008000
-0.289104	-0.147584	red	#FF0000
-0.0106148	-0.000984908	green	#008000
0.298222	-0.289335	red	#FF0000
-0.143362	-0.028246	red	#FF0000
0.0282589	0.0119859	red	#FF0000
-0.151082	-0.0768334	red	#FF0000
0.0683314	0.0230112	green	#008000
-0.533503	0.917271	red	#FF0000
0.101043	-0.444464	red	#FF0000
0.012939	0.0132459	red	#FF0000
-0.073293	-0.0519474	green	#008000
-1.19278	0.987574	red	#FF0000
0.0203697	0.0132191	red	#FF0000
0.250202	0.683605	red	#FF0000
-0.564428	-0.449718	green	#008000
0.00238228	0.0230643	red	#FF0000
-0.0136794	-0.0891231	red	#FF0000
-0.0746544	-0.0206218	green	#008000
0.893911	0.261841	red	#FF0000
-3.36219	-3.79741	green	#008000
4.47	-9.50369	green	#008000
-0.180522	0.105749	green	#008000
0.225737	0.105343	red	#FF0000
0.00428839	-0.0544674	red	#FF0000
-0.453855	-0.249411	red	#FF0000
-0.417648	-0.576108	red	#FF0000
0.086751	-0.0278133	green	#008000
0.207543	-0.305657	red	#FF0000
-0.00413293	-0.00434533	red	#FF0000
0.000370165	6.10192e-05	green	#008000
0.0615523	-0.113901	red	#FF0000
-0.148135	0.0881564	blue	#3399FF
-0.0598589	0.00833474	red	#FF0000
0.0228242	0.0521419	red	#FF0000
0.265397	0.0288664	red	#FF0000
-0.0792138	-0.960208	green	#008000
0.0591989	0.0387898	green	#008000
0.0350571	-0.00832578	green	#008000
0.273505	0.134665	green	#008000
-0.196828	-0.0170454	red	#FF0000
0.190542	0.0268104	green	#008000
-0.612795	0.0342886	green	#008000
-0.800452	1.04482	red	#FF0000
-0.793625	0.224967	blue	#3399FF
0.0726402	0.0325007	green	#008000
0.154851	-0.129694	green	#008000
-0.11295	0.530378	green	#008000
0.0711911	-0.153417	red	#FF0000
0.127685	-0.050129	red	#FF0000
9.12351	-5.56418	red	#FF0000
0.297504	0.0640577	green	#008000
-0.347762	0.0105728	red	#FF0000
0.0533671	-0.0347787	green	#008000
-0.308852	0.249588	green	#008000
0.11474	-0.143145	red	#FF0000
0.00220612	-0.06398	red	#FF0000
0.365067	-0.426698	red	#FF0000
0.0946958	-0.289854	red	#FF0000
0.0222128	-0.13103	red	#FF0000
0.000249684	0.00312532	blue	#3399FF
