X	Y
-0.125631	0.4678
2.59589	3.31601
-0.650641	-0.0779092
0.0263625	0.603265
0.495544	13.0621
-1.44596	0.402402
0.268984	-0.398771
0.0351037	0.604001
0.406485	-0.22843
-2.2341	0.190885
1.51948	0.695643
0.261993	-0.508099
0.598827	-0.499785
0.166528	-0.834031
-0.391938	-0.184048
-1.43784	0.810376
2.06671	0.126179
-6.18932	-9.04976
0.307227	-0.366001
0.656556	-0.577222
-0.343892	0.247122
0.270398	0.14487
-0.484528	-0.570412
0.886724	-0.0185362
-3.43989	-1.47891
-0.286548	-0.957631
1.26811	-0.363279
0.883773	0.0459668
-0.7091	-0.686518
1.5181	0.0500876
-1.86887	-0.352604
-2.26686	2.46726
-0.332791	-0.685742
-0.453944	-0.148666
0.307632	0.497579
-8.02401	-2.57174
-0.209596	0.568435
-0.467316	0.368403
-0.631066	2.41441
1.99482	0.0719438
0.193789	0.330777
-0.797621	-0.558687
-0.664675	-1.16117
-0.0256824	0.759624
-0.0434452	-0.55384
0.517578	-0.523995
0.523087	0.780312
3.55003	2.15202
0.278335	0.686128
-0.747963	0.923118
-1.79282	-2.85493
1.78383	-1.45716
-0.286552	0.347075
-0.653705	-0.000689426
0.682518	1.34128
1.07323	0.994347
0.626347	-0.594987
0.737577	0.431406
0.824167	-0.219939
1.49815	-1.73821
-0.731707	0.532431
-0.212824	0.212467
0.401424	-0.660843
-0.626707	-0.271863
0.270551	-0.0611378
-0.80317	0.694867
-4.23486	-4.42524
0.387797	-0.556536
-0.368141	0.017131
-0.0305805	0.187926
-0.290195	-0.801193
-0.503871	0.101888
-0.613962	0.484965
0.156131	-0.181149
-0.664738	-0.591343
-5.7374	3.6836
-0.210059	0.571717
-0.0954109	0.549068
2.67271	-0.144666
0.202655	0.105198
2.0337	-0.518975
-0.106661	-0.641484
-0.370093	0.409065
-2.65129	-3.00724
0.853566	1.477
-0.663356	0.625441
-0.137151	0.627462
-2.85023	0.598565
0.463282	-0.220757
-0.725248	0.435943
-1.09553	0.307372
0.011428	-0.980983
-0.258808	-0.585888
0.462582	0.497794
1.07084	0.503977
0.385974	0.744683
-1.45491	-2.32871
0.0924597	1.55484
0.198714	0.768996
0.0237177	-0.799044
-0.582742	0.580428
-0.010946	0.599237
-7.03631	4.47195
0.0645995	-0.163367
0.13974	1.72005
0.810168	-0.0141385
-1.25261	2.28794
2.6707	0.530188
-0.111579	0.411691
-0.181563	1.71438
-0.348653	-0.124189
-0.334453	-0.900133
1.01133	0.590481
-1.14862	-0.714033
-0.411714	-0.0548341
0.809731	-0.06895
-0.983414	-1.2412
1.59493	1.44674
-1.09298	-0.505083
-1.53682	0.266824
-8.35361	-6.05165
-0.910459	-1.34892
0.381503	0.33853
-0.309739	-0.549629
-3.70146	1.99454
0.274663	-0.885959
0.523187	-0.142524
0.00518031	-0.71563
0.113513	-0.653611
0.14646	0.455388
-0.984266	-2.83224
-0.211054	0.170022
1.63251	0.275865
0.427043	-0.0651063
-0.522226	2.04276
-0.18944	-0.786092
0.0825928	-0.148184
0.0812902	0.335483
-0.120049	-0.768376
-0.237761	0.267503
0.605945	-0.482133
-0.400617	-0.36543
0.308728	-0.617215
-0.0278666	-0.868613
0.366904	-0.777364
-0.134885	0.517682
0.447298	0.743412
-0.273069	0.636579
0.440265	0.375251
-0.480315	-0.41426
2.696	2.96329
2.26389	1.01969
-0.181824	1.12416
-0.0453183	0.326042
0.876786	0.651338
0.627831	0.498172
0.433995	0.171348
-0.693753	0.49451
-0.0751204	-0.548159
-1.54852	2.03416
0.578928	-1.16971
0.329767	-0.429842
-0.499519	0.466287
-2.02504	1.94855
0.550355	0.065526
-1.38148	-0.938712
-0.622419	-1.51719
-0.282133	0.353297
0.216766	-0.549419
0.102518	0.555489
0.429727	2.14366
2.21291	3.32862
1.9229	-5.2382
-0.72452	-0.565109
-0.167004	0.942841
-0.599007	-0.143291
1.00376	-0.486826
-0.785847	-1.38391
0.353608	-0.587189
-1.36572	0.100876
-0.252335	0.19349
-0.0343723	0.301362
-0.767072	-0.413339
-0.351335	-0.782728
0.340752	-0.527784
0.076847	0.512123
0.850125	0.473886
2.17813	0.883702
